"sample_id","species_code","tot.catch","start_rm"
548068,"BHS",14,199.53
548068,"FHM",3,199.53
548068,"FMS",369,199.53
548068,"HBC",29,199.53
548068,"SPD",161,199.53
548069,"BHS",2,200.32
548069,"FMS",73,200.32
548069,"HBC",11,200.32
548069,"SPD",19,200.32
548070,"BHS",1,200.64
548070,"FHM",5,200.64
548070,"FMS",191,200.64
548070,"HBC",30,200.64
548070,"SPD",58,200.64
548071,"FMS",276,201.65
548071,"HBC",5,201.65
548071,"SPD",38,201.65
548072,"FMS",126,201.95
548072,"HBC",10,201.95
548072,"SPD",24,201.95
548073,"FHM",1,202.88
548073,"FMS",131,202.88
548073,"HBC",18,202.88
548073,"SPD",95,202.88
548074,"FHM",1,202.86
548074,"FMS",33,202.86
548074,"HBC",3,202.86
548074,"SPD",27,202.86
548075,"BHS",3,203.6
548075,"FHM",2,203.6
548075,"FMS",176,203.6
548075,"HBC",15,203.6
548075,"SPD",134,203.6
548076,"BHS",2,204.16
548076,"FHM",1,204.16
548076,"FMS",154,204.16
548076,"HBC",7,204.16
548076,"SPD",15,204.16
548077,"BHS",1,204.68
548077,"FMS",47,204.68
548077,"HBC",6,204.68
548077,"NFC",1,204.68
548077,"SPD",10,204.68
548078,"FMS",91,204.84
548078,"HBC",5,204.84
548078,"PKF",3,204.84
548078,"SPD",103,204.84
548079,"BHS",1,190.52
548079,"FHM",1,190.52
548079,"FMS",19,190.52
548079,"SPD",7,190.52
548080,"BHS",2,191.91
548080,"FHM",1,191.91
548080,"FMS",155,191.91
548080,"HBC",12,191.91
548080,"SPD",83,191.91
548081,"BHS",1,192.46
548081,"FHM",1,192.46
548081,"FMS",66,192.46
548081,"SPD",17,192.46
548082,"FMS",29,192.25
548082,"SPD",9,192.25
548083,"SPD",15,192.87
548084,"FMS",122,210.25
548084,"HBC",3,210.25
548084,"SPD",75,210.25
548085,"FMS",18,210.45
548085,"HBC",1,210.45
548085,"SPD",121,210.45
548086,"FMS",157,211.12
548086,"HBC",1,211.12
548086,"SPD",17,211.12
548087,"BHS",1,211.37
548087,"FMS",61,211.37
548087,"HBC",9,211.37
548087,"SPD",26,211.37
548088,"FHM",1,211.84
